jud,win,loss,1052-1,1052-2,judfile,1052-1-1,1052-1-2,1052-1-3,1052-1-4,1052-1-5,1052-1-6,1052-1-7,1052-1-8,1052-1-9,1052-1-10,1052-2-A,1052-2-B,1052-2-C,1052-2-D,1052-2-E,1052-2-F,1052-2-G
福建金門地方法院 100 年度 婚 字第 2 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
福建金門地方法院 100 年度 婚 字第 5 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
福建金門地方法院 99 年度 婚 字第 14 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 103 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 12 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 17 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
臺灣南投地方法院 100 年度 婚 字第 18 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 23 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 24 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 28 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 29 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 4 號民事判決,1,0,1,1,jud100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 41 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 45 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 49 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 6 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 61 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 63 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 70 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
臺灣南投地方法院 100 年度 婚 字第 72 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 80 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 84 號民事判決,1,0,1,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 9 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 100 年度 婚 字第 94 號民事判決,1,0,1,1,jud100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 106 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 110 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 132 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 135 號民事判決,1,0,1,0,jud100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 137 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 149 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 161 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 168 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 171 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 172 號民事判決,1,0,1,0,jud100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 177 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣南投地方法院 99 年度 婚 字第 94 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 10 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
